날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2023.10.04(수),18:29,22:20,3:51,이인복,켈리,사직
2023.10.05(목),18:29,21:36,3:07,한현희,임찬규,사직
2023.10.07(토),17:00,20:21,3:21,알칸타라,윌커슨,잠실
2023.10.08(일),14:00,16:38,2:38,브랜든,반즈,잠실
2023.10.09(월),14:00,17:07,3:07,강효종,심재민,잠실
2023.10.10(화),18:30,21:23,2:53,손주영,이인복,잠실
2023.10.11(수),18:31,21:51,3:20,박세웅,최원준,사직
2023.10.12(목),18:30,22:05,3:35,산체스,우강훈,광주
2023.10.14(토),17:00,20:56,3:05,페냐,한현희,대전
2023.10.15(일),14:00,16:55,2:55,이태양,나균안,대전
2023.10.16(월),18:30,22:10,3:40,김기중,심재민,대전
2024.03.23(토),14:00,17:24,3:24,김광현,윌커슨,문학
2024.03.24(일),14:00,17:45,3:45,엘리아스,박세웅,문학
2024.03.26(화),18:30,21:17,2:47,양현종,반즈,광주
2024.03.27(수),18:30,21:27,2:57,네일,나균안,광주
2024.03.29(금),18:31,21:30,2:59,윌커슨,김시훈,사직
2024.03.30(토),17:02,20:08,3:06,박세웅,신민혁,사직
2024.03.31(일),14:00,19:07,5:07,반즈,카스타노,사직
2024.04.02(화),18:30,22:02,3:32,산체스,나균안,대전
2024.04.04(목),18:31,21:44,3:13,문동주,윌커슨,대전
2024.04.05(금),18:29,21:46,3:17,이인복,브랜든,사직
2024.04.06(토),17:00,19:42,2:42,박세웅,곽빈,사직
2024.04.07(일),14:01,18:09,4:08,반즈,박신지,사직
2024.04.09(화),18:31,21:38,3:07,나균안,원태인,사직
2024.04.10(수),14:01,18:32,4:31,윌커슨,코너,사직
2024.04.11(목),18:31,21:23,2:52,이인복,레예스,사직
2024.04.12(금),18:30,21:31,3:01,헤이수스,박세웅,고척
2024.04.13(토),17:00,19:52,2:52,김선기,반즈,고척
2024.04.14(일),14:00,17:45,3:45,손현기,나균안,고척
2024.04.16(화),18:30,21:16,2:46,엔스,윌커슨,잠실
2024.04.17(수),18:30,22:01,3:31,임찬규,이인복,잠실
2024.04.18(목),18:30,21:29,2:59,켈리,박세웅,잠실
2024.04.19(금),18:31,21:15,2:44,반즈,원상현,사직
2024.04.21(일),14:01,17:09,3:08,윌커슨,쿠에바스,사직
2024.04.21(일),17:50,20:40,2:50,나균안,엄상백,사직
2024.04.24(수),18:30,22:04,3:34,이인복,더거,사직
2024.04.25(목),18:31,21:28,2:57,박세웅,박종훈,사직
2024.04.26(금),18:30,20:59,2:29,하트,반즈,창원
2024.04.27(토),17:00,20:07,3:07,김시훈,나균안,창원
2024.04.28(일),14:00,16:49,2:49,신민혁,윌커슨,창원
2024.04.30(화),18:31,21:58,3:27,이인복,헤이수스,사직
2024.05.01(수),18:31,21:47,3:16,박세웅,이종민,사직
2024.05.02(목),18:30,21:48,3:18,반즈,김인범,사직
2024.05.03(금),18:30,22:32,4:02,코너,나균안,대구
2024.05.04(토),17:00,20:14,3:14,레예스,윌커슨,대구
2024.05.08(수),18:30,21:15,2:45,반즈,류현진,사직
2024.05.09(목),18:30,22:33,4:03,나균안,페냐,사직
2024.05.10(금),18:31,21:36,3:05,박세웅,엔스,사직
2024.05.11(토),17:02,20:43,3:41,윌커슨,손주영,사직
2024.05.12(일),14:00,17:24,3:24,홍민기,강효종,사직
2024.05.14(화),18:30,21:46,3:16,엄상백,반즈,수원
2024.05.16(목),18:30,21:20,2:50,쿠에바스,박세웅,수원
2024.05.17(금),18:31,21:40,3:09,최준호,윌커슨,잠실
2024.05.18(토),17:00,20:04,3:04,곽빈,나균안,잠실
2024.05.19(일),13:59,18:16,4:17,브랜든,이민석,잠실
2024.05.21(화),18:30,21:40,3:10,반즈,네일,사직
2024.05.22(수),18:31,21:47,3:16,박세웅,윤영철,사직
2024.05.23(목),18:31,22:09,3:38,윌커슨,김사윤,사직
2024.05.24(금),18:31,22:30,3:59,나균안,레예스,사직
2024.05.25(토),17:01,20:18,3:17,김진욱,이호성,사직
2024.05.26(일),14:01,17:26,3:25,반즈,원태인,사직
2024.05.28(화),18:30,21:39,3:09,문동주,박세웅,대전
2024.05.29(수),18:30,21:22,2:52,황준서,윌커슨,대전
2024.05.30(목),18:30,21:33,3:03,김기중,나균안,대전
2024.05.31(금),18:31,21:44,3:13,김진욱,신영우,사직
2024.06.01(토),17:02,20:23,3:21,이민석,카스타노,사직
2024.06.02(일),17:01,20:28,3:27,박세웅,신민혁,사직
